title,authors,publication_year,num_pages,average_rating
Lolita: The Screenplay,Vladimir Nabokov,1997,240,3.87
Lolita,Vladimir Nabokov/Martin Amis,1993,335,3.89
Mysteries,Knut Hamsun/Sverre Lyngstad,2001,313,4.09
Hunger,Knut Hamsun/George Egerton,2003,134,4.05
Victoria,Knut Hamsun/Oliver Stallybrass,1994,155,3.74
The Wanderer,Knut Hamsun/Oliver Stallybrass/Gunnvor Stallybrass,2001,164,3.96
Pan,Knut Hamsun/Sverre Lyngstad,1998,181,3.9
The Last Joy,Knut Hamsun/Sverre Lyngstad,2002,250,3.77
In Wonderland,Knut Hamsun/Sverre Lyngstad,2003,185,3.6
Guilty as Charged,Scott Turow/Sarah Shankman/Jay Brandon/Jeremiah Healy/Ed Gorman/John Jakes/Maynard F. Thomson/Lia Matera/Susan Dunlap/Bill Pronzini/John Lutz/Andrew Klavan/Marcia Muller/Stuart M. Kaminsky/Carolyn Wheat/Stan Washburn/Valerie Frankel,1996,10,3.76
On the Shoulders of Giants: The Great Works of Physics and Astronomy,Stephen Hawking/Isaac Newton/Nicolaus Copernicus/Albert Einstein/Johannes Kepler/Galileo Galilei,2006,256,4.2
Visions of Heaven and Hell,Clive Barker,2005,352,4.32
Books of Blood: Volumes One to Three (Books of Blood #1-3),Clive Barker,1998,507,4.18
Everville (Book of the Art #2),Clive Barker,1999,697,4.03
The Great and Secret Show (Book of the Art #1),Clive Barker,1999,658,4.05
Abarat: Days of Magic  Nights of War,Clive Barker,2006,569,4.2
Imajica: The Reconciliation,Clive Barker,1995,544,4.42
Sacrament,Clive Barker,1997,594,3.75
The Inhuman Condition (Books of Blood  #4),Clive Barker,2001,180,3.96
Notebook of a Return to the Native Land,Aimé Césaire/Annette Smith/Clayton Eshleman,2001,66,4.09
The Return of the Native,Thomas Hardy/Alexander Theroux,2001,448,3.86
The Return of the Native,Thomas Hardy/Phillip Mallett,2006,552,3.86
The Stephen King Collection: Stories from Night Shift,Stephen King/John  Glover,2000,9,4.0
Blood and Smoke,Stephen King,2000,4,3.92
LT's Theory of Pets,Stephen King,2001,1,3.69
Carretera maldita,Richard Bachman/Stephen King/Joseph M. Apfelbäume,1999,362,3.6
Silver Bullet,Stephen King/Bernie Wrightson,1985,255,3.64
Patriot Games (Jack Ryan  #1),Tom Clancy,1992,503,4.14
Legends,Robert Silverberg/Stephen King/Robert Jordan/Terry Goodkind/Anne McCaffrey/Orson Scott Card/Tad Williams/George R.R. Martin/Raymond E. Feist/Terry Pratchett/Ursula K. Le Guin,2001,717,3.92
Bare Bones: Conversations on Terror with Stephen King,Tim Underwood/Chuck Miller/Stephen King,1989,224,4.17
Four Past Midnight,Stephen King,2004,768,3.93
Gerald's Game,Stephen King,1992,332,3.51
Faithful: Two Diehard Boston Red Sox Fans Chronicle the Historic 2004 Season,Stewart O'Nan/Stephen King,2005,445,3.83
El talismán,Stephen King/Peter Straub/Pilar Giralt Gorina,2003,375,4.13
El umbral de la noche,Stephen King/Gregorio Vlastelica/Eduardo Goligorsky,2004,417,4.0
Rabia,Richard Bachman/Stephen King/Hernán Sabaté Vargas,1987,203,3.78
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon/Steven Rimbauer/Ridley Pearson,2001,277,3.67
Now and on Earth,Jim Thompson/Stephen King,1994,320,3.7
The Monkey,Stephen King/David Purdham,1989,2,3.77
Desperation / The Regulators: Box Set,Stephen King/Richard Bachman,1996,1075,4.07
Ojos de fuego,Stephen King/Eduardo Goligorsky,2001,528,3.88
Tevye's Daughters: Collected Stories of Sholom Aleichem,Sholom Aleichem/Frances Butwin,1999,302,4.17
Favorite Tales of Sholom Aleichem,Sholom Aleichem/Ben Shahn/Frances Butwin/Julius Butwin,1990,692,4.26
Brown Girl  Brownstones,Paule Marshall/Mary Helen Washington/Edwidge Danticat,2006,324,4.07
V.,Thomas Pynchon,1994,544,3.96
Gimpel the Fool: And Other Stories,Isaac Bashevis Singer/Saul Bellow,1988,205,4.16
At the Mountains of Madness,H.P. Lovecraft/China Miéville/S.T. Joshi,2005,224,3.88
At the Mountains of Madness and Other Novels,H.P. Lovecraft/James Turner/S.T. Joshi/August Derleth,1985,458,4.44
At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,1991,184,4.25
Mountain Madness (Wilderness  #24),David   Robbins/David Thompson,1998,170,4.45
At the Mountains of Madness and Other Novels of Terror,H.P. Lovecraft/August Derleth/E. Hoffmann Price,2002,552,4.44
The Aeneid,Virgil/Robert Fitzgerald,1992,483,3.84
The Aeneid (Verse Translation),Virgil/Rolfe Humphries,1987,368,3.84
The Iliad,Homer/Andrew Lang,2011,542,3.86
War and the Iliad,Simone Weil/Rachel Bespaloff/Mary McCarthy/Christopher E.G. Benfey/Hermann Broch,2005,121,4.04
The Iliad,Homer/Victor G. Ambrus/Nick McCarty,2000,95,3.86
Trojan Odyssey (Dirk Pitt  #17),Clive Cussler,2004,463,3.94
The Divine Comedy II: Purgatory,Dante Alighieri/Dorothy L. Sayers/C.W. Scott-Giles,1981,388,4.02
The Divine Comedy,Dante Alighieri/C.H. Sisson/David H. Higgins,1998,735,4.07
Paradiso (The Divine Comedy  #3),Dante Alighieri/Dorothy L. Sayers/Barbara Reynolds,1962,400,3.95
Modern Reader's Guide to Dante's the Divine Comedy,Joseph Gallagher,1999,256,4.49
The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,1970,489,3.49
The Canterbury Tales: Fifteen Tales and the General Prologue,Geoffrey Chaucer/V.A. Kolve/Glending Olson,2005,600,3.95
Fanning the Flame: Bible  Cross  and Mission,Chris    Green/Chris Wright/Paul Douglas Gardner,2003,336,5.0
From the Earth to the Moon (Extraordinary Voyages  #4),Jules Verne,2006,136,3.78
The Mammoth Book of New Jules Verne Adventures: Return to the Center of the Earth and Other Extraordinary Voyages  New Tales by the Heirs of Jules Verne,Mike Ashley/Eric Brown/Keith Brooke/Johan Heliot/Kevin J. Anderson/Sarah A. Hoyt/Justina Robson/Adam Roberts/Paul Di Filippo/Tim Lebbon/Molly Brown/Tony Ballantyne/Stephen Baxter/Richard A. Lupoff/Sharan Newman/Michael Pagel/Liz Williams/Brian Stableford/James Lovegrove/Ian Watson/Peter Criwther/Laurent Genefirt/F. Gwynplaine MacIntyre/Michael Mallory,2005,498,3.63
Journey to the Center of the Earth (Extraordinary Voyages  #3),Jules Verne,2006,240,3.86
20 000 Leagues Under The Sea,Pauline Francis/Jules Verne,2004,48,3.76
The Mysterious Island (Extraordinary Voyages  #12),Jules Verne/Caleb Carr/Jordan Stump,2004,723,4.11
The Lighthouse at the End of the World,Jules Verne,2001,260,3.64
The World of Jules Verne,Gonzague Saint Bris/Arthur C. Clarke/Stéphane Heuet/Helen Marx/Saint-Bris Gonzague,2006,85,4.0
The End of Nana Sahib: The Steam House (Extraordinary Voyages  #20),Jules Verne/Agnes D. Kingston,2003,276,3.59
Around the World in Eighty Days,Jules Verne/Herbert R. Lottman/Jacqueline Rogers,2005,236,3.93
Around the World in Eighty Days,Jules Verne/George M. Towle/Bruce Sterling,2003,211,3.93
The Mysterious Island,Jules Verne/Jordan Stump/Caleb Carr,2002,630,4.11
Adrift in the Pacific: Two Years Holiday (Extraordinary Voyages  #32),Jules Verne,2003,300,3.99
Final Payments,Mary Gordon,2006,304,3.69
Sliver of Truth (Ridley Jones #2),Lisa Unger,2007,308,3.68
The Mothman Prophecies,John A. Keel,2002,352,3.54
Intimate Communion: Awakening Your Sexual Essence,David Deida/Lorrie Bortner,1995,270,3.99
Letter to a Man in the Fire: Does God Exist and Does He Care?,Reynolds Price,2000,112,3.7
The Promise of Rest,Reynolds Price/Mary Bess Engel,1996,368,4.0
Perfect Match,Jodi Picoult,2002,368,3.95
Demon Box,Ken Kesey,1987,400,3.56
Sailor Song,Ken Kesey,1993,533,3.58
On the Bus: The Complete Guide to the Legendary Trip of Ken Kesey and the Merry Pranksters and the Birth of Counterculture,Paul Perry/Ken Babbs,1997,205,3.86
The Further Inquiry,Ken Kesey/Ron Bevirt,1990,215,3.63
Goodnight Moon,Margaret Wise Brown/Clement Hurd,2007,32,4.28
Goodnight Moon 123: A Counting Book (Over the Moon),Margaret Wise Brown/Clement Hurd,2007,32,3.57
New Rules: Polite Musings from a Timid Observer,Bill Maher,2005,304,3.71
True Story,Bill Maher,2005,304,3.11
Does Anybody Have a Problem With That? The Best of Politically Incorrect,Bill Maher,1997,288,3.51
The Outsiders,S.E. Hinton,2003,218,4.09
Outsiders Within: Writing on Transracial Adoption,Jane Jeong Trenka/Julia Chinyere Oparah,2006,300,4.17
Outsiders  Vol. 5: The Good Fight,Judd Winick/Matthew Clark/Art Thibert/Pop Mhan/Ron Randall,2007,192,3.43
Sister Outsider: Essays and Speeches,Audre Lorde,1984,190,4.49
Caramelo,Sandra Cisneros,2003,441,3.9
The House on Mango Street,Sandra Cisneros,2005,2,3.63
Selections from Homer’s Iliad,Homer/Allen Rogers Benner/Mark W. Edwards,2001,522,4.41
The Merchant of Venice,William Shakespeare,2005,240,3.8
Nancy Drew: Girl Detective: #1-4,Carolyn Keene,2004,640,4.02
Nancy's Mysterious Letter (Nancy Drew Mystery Stories  #8),Carolyn Keene/Walter Karig,1996,210,3.86
The Secret of the Old Clock (Nancy Drew Mystery Stories  #1),Carolyn Keene/Russell H. Tandy/Sara Paretsky,1991,210,3.99
The Mystery at the Moss-covered Mansion (Nancy Drew Mystery Stories  #18),Carolyn Keene/Russell H. Tandy/Mildred Benson,2003,215,3.89
The Mystery of the Brass-Bound Trunk (Nancy Drew Mystery Stories  #17),Carolyn Keene/Mildred Benson,2001,228,3.89
The Mantle of the Prophet: Religion and Politics in Iran,Roy Mottahedeh,2000,416,4.08
The Greatest Generation,Tom Brokaw,2001,464,4.01
Maverick: The Success Story Behind the World's Most Unusual Workplace,Ricardo Semler,2001,336,4.17
Weekend Warriors (Sisterhood  #1),Fern Michaels,2004,304,4.05
The Weekend Novelist,Robert J. Ray/Bret Norris,2005,266,3.67
The Week-End Book,Francis Meynell/John Julius Norwich/Francis Maynell,2006,368,3.67
North Carolina Weekends,Lynn Setzer,2003,353,3.71
Far from the Madding Crowd,Thomas Hardy/Margaret Drabble,2001,465,3.94
Selected Poems,Thomas Hardy/Robert Mezey,1998,320,3.96
Selected Poetry,Thomas Hardy/Samuel Hynes,1999,304,3.96
Underworld (Underworld  #1),Greg Cox/Danny McBride/Len Wiseman/Kevin Grevioux,2003,384,4.09
Underworld: The Mysterious Origins of Civilization,Graham Hancock,2003,784,3.95
The Dream and the Underworld,James Hillman,1979,256,4.22
Underworld (Star Wars: The Last of the Jedi  #3),Jude Watson,2005,160,3.96
Star Wars: Underworld - The Yavin Vassilika,Mike Kennedy/Carlos Meglia,2001,120,3.35
Underworld: Blood Enemy (Underworld  #2),Greg Cox/Len Wiseman/Kevin Grevioux,2004,310,3.91
Queen of the Underworld,Gail Godwin,2007,368,2.89
Ve  perro ¡Ve!,P.D. Eastman/Adolfo Pérez Perdomo,2003,24,4.09
Murder in the Cathedral,T.S. Eliot,1964,148,3.76
Cathedral  Forge  and Waterwheel: Technology and Invention in the Middle Ages,Frances Gies/Joseph Gies,1995,368,3.86
L'Équilibre du monde,Rohinton Mistry/Françoise Adelstain,2001,890,4.36
In the Kitchen with Rosie: Oprah's Favorite Recipes,Rosie Daley/Oprah Winfrey,1994,142,3.04
King Richard II,William Shakespeare/Andrew Gurr,2003,252,3.77
King Richard II,William Shakespeare/Charles R. Forker,2002,593,3.77
King Richard II,William Shakespeare/Andrew Gurr,1984,240,3.77
Floating in My Mother's Palm,Ursula Hegi/John Collier/Francine Kass,1998,192,3.82
Tearing the Silence: On Being German in America,Ursula Hegi,1998,304,3.86
Paint it Black,Janet Fitch,2006,387,3.48
The Tempest,William Shakespeare/Peter Hulme/William H. Sherman,2003,355,3.81
The Day of the Tempest (Dragonlance: Dragons of a New Age  #2),Jean Rabe,2002,352,3.65
A Tempest,Aimé Césaire/Richard Miller,2002,69,3.56
A Midsummer Night's Dream,William Shakespeare/Harold F. Brooks,1979,312,3.94
A Midsummer Night's Dream (SparkNotes Literature Guide),SparkNotes/William Shakespeare,2002,64,3.96
A Midsummer Night's Dream,William Shakespeare/R.A. Foakes,2003,168,3.94
Minuit dans le jardin du bien et du mal,John Berendt,1998,388,3.92
Les Essais (mis en français moderne par Claude Pinganaud),Michel de Montaigne,2002,806,4.24
Cliffs Notes on Hugo's Les Miserables,Amy L. Marsland,1968,120,3.76
Les Misérables,Victor Hugo/Norman Denny,1982,1232,4.17
Hamlet in Purgatory,Stephen Greenblatt,2002,344,3.94
From Hinton to Hamlet: Building Bridges between Young Adult Literature and the Classics,Sarah K. Herz/Donald R. Gallo,2005,256,4.01
Hamlet,William Shakespeare/Burton Raffel/Harold Bloom,2003,249,4.02
Hamlet  Prince of Denmark,William Shakespeare/Philip Edwards/Robert Hapgood,2003,270,4.02
Romeo & Juliet,William Shakespeare/Roma Gill,2005,142,3.74
Romeo and Juliet,William Shakespeare/Paul D. Moliken,2003,111,3.74
Romeo and Juliet,William Shakespeare/G. Blakemore Evans/Thomas Moisan,2003,278,3.74
Shakespeare's Romeo and Juliet,William Shakespeare/Karin Jacobson/Sidney Lamb,2000,231,3.74
Romeo and Juliet (SparkNotes Literature Guide),SparkNotes/Brian  Phillips/William Shakespeare,2002,88,3.91
Romeo and Juliet,William Shakespeare/René Weis,2012,350,3.74
La Petite Fille du Lac,Christina Schwarz/Marie-Hélène Sabard,2003,363,3.74
South of the Border  West of the Sun,Haruki Murakami/Philip Gabriel,2000,213,3.87
Clock of the Long Now: Time and Responsibility: The Ideas Behind the World's Slowest Computer,Stewart Brand,2000,208,4.1
Jessica's Bad Idea (Sweet Valley Twins and Friends  #31),Francine Pascal/Jamie Suzanne,1989,104,3.46
How to Win Friends and Influence People,Dale Carnegie,2006,268,4.19
How to Win Friends and Influence People,Dale Carnegie,1994,256,4.19
How to Win Friends and Influence People for Teen Girls,Donna Dale Carnegie,2005,208,3.96
Naked Economics: Undressing the Dismal Science,Charles Wheelan,2003,288,4.03
The Naked Warrior: Master the Secrets of the Super-Strong - Using Bodyweight Exercises Only,Pavel Tsatsouline,2010,218,4.0
The Naked Ape: A Zoologist's Study of the Human Animal,Desmond Morris,1999,256,3.95
There's No Toilet Paper . . . on the Road Less Traveled: The Best of Travel Humor and Misadventure,Doug Lansky,2005,216,3.38
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,2007,312,4.07
More Than You Know: Finding Financial Wisdom in Unconventional Places,Michael J. Mauboussin,2006,268,4.09
Searching for God Knows What,Donald Miller,2004,246,3.92
The More Than Complete Hitchhiker's Guide (Hitchhiker's Guide  #1-4 + short story),Douglas Adams,1989,624,4.58
Hitchhiker's Guide To The Galaxy: The Filming of the Douglas Adams classic,Robbie Stamp/Paul Simpson,2005,184,3.9
Different Seasons,Stephen King,1983,560,4.35
It's Called a Breakup Because It's Broken: The Smart Girl's Break-Up Buddy,Greg Behrendt/Amiira Ruotola (-Behrendt),2006,276,4.02
Jennifer Government,Max Barry,2004,352,3.66
Mama Day,Gloria Naylor,1989,312,4.17
A Feather on the Breath of God,Sigrid Nunez,2005,192,3.91
Mitz The Marmoset of Bloomsbury,Sigrid Nunez,2007,128,3.92
War with the Newts,Karel Čapek/M. Weatherall/R. Weatherall/Ivan Klíma,1996,348,4.17
Parallel Worlds: A Journey through Creation  Higher Dimensions  and the Future of the Cosmos,Michio Kaku,2006,361,4.18
Key Lime Pie Murder (Hannah Swensen  #9),Joanne Fluke,2007,342,3.85
Cherry Cheesecake Murder (Hannah Swensen  #8),Joanne Fluke,2007,382,3.91
Peach Cobbler Murder (Hannah Swensen  #7),Joanne Fluke,2006,384,3.92
Strawberry Shortcake Murder (Hannah Swensen  #2),Joanne Fluke,2002,320,3.85
Lemon Meringue Pie Murder (Hannah Swensen  #4),Joanne Fluke,2004,352,3.87
Fluke: Or  I Know Why the Winged Whale Sings,Christopher Moore,2004,321,3.75
Sugar Cookie Murder (Hannah Swensen  #6),Joanne Fluke,2005,380,3.75
Chocolate Chip Cookie Murder (Hannah Swensen  #1),Joanne Fluke,2006,436,3.71
Blueberry Muffin Murder (Hannah Swensen  #3),Joanne Fluke,2003,310,3.87
The Wolf Shall Dwell With the Lamb: A Spirituality for Leadership in a Multicultural Community,Eric H.F. Law,1993,144,3.77
Focus: The Future of Your Company Depends on It,Al Ries/Laura Ries,2005,320,4.06
Positioning: The Battle for Your Mind,Al Ries/Jack Trout,2001,246,4.04
The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk,Al Ries/Jack Trout,1994,143,4.05
Horse Sense: How to Pull Ahead on the Business Track,Al Ries/Jack Trout,1992,240,3.82
You Suck (A Love Story  #2),Christopher Moore,2007,328,3.83
Bloodsucking Fiends (A Love Story  #1),Christopher Moore,2004,300,3.94
Island of the Sequined Love Nun,Christopher Moore,2004,325,3.8
A Dirty Job (Grim Reaper  #1),Christopher Moore,2006,387,4.07
Practical Demonkeeping (Pine Cove  #1),Christopher Moore,2004,256,3.83
The Lust Lizard of Melancholy Cove (Pine Cove  #2),Christopher Moore,2004,304,3.87
Granta 7,Bill Buford/Clive Sinclair/Graham Swift/Martin Amis/Rose Tremain/A.N. Wilson/Pat Barker/Julian Barnes/Ursula Bentley/William Boyd/Buchi Emecheta/Alan Judd/Maggie Gee/Kazuo Ishiguro/Adam Mars-Jones/Ian McEwan/Shiva Naipaul/Philip Norman/Christopher Priest/Salman Rushdie/Lisa St. Aubin de Terán,2013,320,3.94
Will Eisner's New York: Life in the Big City (The New York Tetralogy  #1-4),Will Eisner/Neil Gaiman,2006,421,4.37
Graphic Storytelling and Visual Narrative,Will Eisner,1996,164,4.08
The Best of the Spirit,Will Eisner/Neil Gaiman,2005,187,3.92
The Plot: The Secret Story of the Protocols of the Elders of Zion,Will Eisner/Stephen Eric Bronner/Umberto Eco/Sergei Nilus,2006,160,3.74
Will Eisner Sketchbook,Will Eisner,2004,200,4.31
The Conquering Sword of Conan (Conan the Cimmerian  #3),Robert E. Howard/Gregory Manchess/Patrice Louinet,2005,416,4.33
Conan and the Demons of Khitai,Akira Yoshida/Pat Lee/Paul Lee/C.B. Cebulski,2006,90,3.31
Call of Cthulhu: Horror Roleplaying (Call of Cthulhu RPG),Sandy Petersen/Lynn Willis,2005,320,4.45
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,2002,420,4.22
The Keeper's Companion 2: Prohibition  Firearms  Tomes  & Creatures (Call of Cthulhu RPG),Lynn Willis/Brian M. Sammons/Adam Gauntlett/William Dietze/Greg Henrikson/Charles P. Zaglanis/J. Gordon Olmstead-Dean/M.J. Lempert/James Crowder,2002,170,3.71
Secrets of New York (Call of Cthulhu RPG),William    Jones,2005,180,3.63
The Keeper's Companion Vol. 1 (Call of Cthulhu RPG),Keith Herber/Brian M. Sammons/William Dietze/Chaosium Inc.,2003,208,3.92
Secrets of San Francisco: A 1920s Sourcebook for the City by the Bay (Call of Cthulhu RPG),Cody Goodfellow,2006,189,3.86
Miskatonic University: Dire Secrets & Campus Life (Call of Cthulhu RPG),Sam Johnson/Sandy Antunes,2005,242,4.12
Call of Cthulhu: Horror Roleplaying (Call of Cthulhu RPG),Sandy Petersen/Lynn Willis,2000,288,4.45
Shadows of Yog-Sothoth (Call of Cthulhu RPG),Sandy Petersen,2004,180,3.9
Song of Cthulhu: Tales of the Spheres Beyond Sound,Stephen Mark Rainey/H.P. Lovecraft/Ramsey Campbell/Edward P. Berglund/Fred Chappel/Caitlín R. Kiernan/Thomas F. Montelone/E.A. Lustig/Brian McNaughton/William R. Trotter,2005,211,3.67
Twenty Thousand Leagues Under the Sea (Extraordinary Voyages  #6),Jules Verne/Anthony Bonner,2002,394,3.88
One Thousand White Women: The Journals of May Dodd (One Thousand White Women  #1),Jim Fergus,1999,434,3.88
The White Man's Burden: Why the West's Efforts to Aid the Rest Have Done So Much Ill and So Little Good,William Easterly,2007,436,3.83
The Elements of Style,William Strunk Jr./E.B. White,1999,128,4.19
Dracula,Bram Stoker,1994,449,3.99
Happy Hour at Casa Dracula (Casa Dracula  #1),Marta Acosta,2006,314,3.59
Frankenstein,Mary Wollstonecraft Shelley/Susan J. Wolfson,2006,431,3.79
World War One British Poets: Brooke  Owen  Sassoon  Rosenberg and Others,Candace Ward,1997,71,4.02
World War II: A Short History,Michael J. Lyons,2003,343,3.9
A Short History of World War I,James L. Stokesbury,1981,352,3.95
Collected Stories  Vol. 2,Richard Matheson/Stanley Wiater/Jack Finney/George Clayton Johnson,2005,453,4.32
Nightmare At 20 000 Feet,Richard Matheson/Stephen King,2002,336,4.09
Earthbound,Logan Swanson/Richard Matheson,2005,223,3.25
Hell House,Richard Matheson,2004,301,3.79
Noir: Three Novels of Suspense,Richard Matheson,2005,385,3.69
7 Steps to Midnight,Richard Matheson,2003,320,3.48
Duel,Richard Matheson/Ray Bradbury,2003,400,4.04
What Dreams May Come,Richard Matheson,2004,288,3.95
Richard Matheson's Hell House  Book 2,Ian Edginton/Simon Fraser,2005,48,4.5
Bloodlines,Richard Matheson/Mark Dawidziak,2007,520,4.02
The Bridegroom,Ha Jin,2001,240,3.77
Under the Red Flag,Ha Jin,1998,224,3.88
Ocean of Words,Ha Jin,1998,205,3.81
The Bridegroom,Ha Jin,2001,225,3.77
In the Pond,Ha Jin,2002,160,3.71
That Was Then  This Is Now,S.E. Hinton,1998,159,3.91
Hawkes Harbor,S.E. Hinton,2005,289,3.13
The Collection: The Outsiders / Rumble Fish / That Was Then  This Is Now,S.E. Hinton,1995,448,4.45
The Work of Work Servitude  Slavery and Labor in Medieval England,Allen J. Frantzen/Ruth Mazo Karras/Madonna J. Hettinger/Elizabeth Stevens Girsch/John Ruffing/George Ovitt Jr./Ross Samson/Niall Brady/Douglas Moffat/David Aers/Louise M. Bishop,1994,240,3.0
East of Eden,John Steinbeck,1992,602,4.37
Katherine,Anya Seton/Philippa Gregory,2004,500,4.19
The Fourth of July Story,Alice Dalgliesh/Marie Nonnast,1995,32,4.03
Fourth of July Mice!,Bethany Roberts/Doug Cushman,2004,32,3.24
Apple Pie 4th of July,Janet S. Wong/Margaret Chodos-Irvine,2006,40,3.72
Roses Are Red (Alex Cross  #6),James Patterson,2000,400,4.04
4th of July (Women's Murder Club  #4),James Patterson/Maxine Paetro,2006,448,4.07
Virgin,James Patterson,1980,210,3.86
Thriller: Stories To Keep You Up All Night,James Patterson/Ted Bell/Raelynn Hillhouse/Gregg Hurwitz/Alex Kava/J.A. Konrath/John Lescroart/David Liss/Eric Van Lustbader/Dennis Lynds/Gayle Lynds/Steve Berry/Chris Mooney/David Morrell/Katherine Neville/Michael Palmer/Douglas Preston/Christopher Reich/James Rollins/M.J. Rose/James Siegel/Grant Blackwood/Brad Thor/M. Diane Vogt/F. Paul Wilson/Lee Child/Lincoln Child/David Dun/Heather Graham/James Grippando/Denise Hamilton/David Liparulo/Christopher  Rice,2006,568,3.5
Saving the World and Other Extreme Sports (Maximum Ride  #3),James Patterson,2007,405,4.15
1st To Die (The Women's Murder Club  #1),James Patterson,2002,471,4.08
How to Write a Damn Good Mystery: A Practical Step-by-Step Guide from Inspiration to Finished Manuscript,James N. Frey,2004,288,3.95
Mediterranean Winter: The Pleasures of History and Landscape in Tunisia  Sicily  Dalmatia and the Peloponnese,Robert D. Kaplan,2005,272,3.92
Balkan Ghosts: A Journey Through History,Robert D. Kaplan,2005,352,3.94
Mediterranean Winter: The Pleasures of History & Landscape in Tunisia  Sicily  Dalmatia & Greece,Robert D. Kaplan,2004,272,3.92
El librero de Kabul,Åsne Seierstad,2004,285,3.76
Der Buchhändler aus Kabul: Eine Familiengeschichte,Åsne Seierstad,2003,301,3.76
Does God Know How to Tie Shoes?,Nancy White Carlstrom/Lori McElrath-Eslick,1997,32,4.2
The Ties That Bind: Life's Most Essential Knots and Ties,Susan Oliver/Harry   Bates,2004,80,3.67
The Undomestic Goddess,Sophie Kinsella,2006,404,3.83
Girls' Night In,Lauren Henderson/Chris Manby/Sarah Mlynowski/Jill A. Davis/Stella Duffy/Lisa Jewell/Marian Keyes/Sophie Kinsella/Adèle Lang/Carole Matthews/Anna Maxted/Megan McCafferty/Alisa Valdes/Isabel Wolff/Meg Cabot/Jessica Adams/Louise Bagshawe/Emily Barr/Jenny Colgan/Lynda Curnyn/Jennifer Weiner,2004,325,3.63
Can You Keep a Secret?,Sophie Kinsella,2005,374,3.84
Crazy For You,Jennifer Crusie,2004,336,3.78
Welcome to Temptation (Dempseys  #1),Jennifer Crusie,2004,416,3.94
Faking It (Dempseys  #2),Jennifer Crusie,2004,448,3.92
Anyone But You,Jennifer Crusie,2006,283,3.8
Getting Rid of Bradley,Jennifer Crusie,2001,248,3.71
What The Lady Wants,Jennifer Crusie,2002,256,3.64
Manhunting,Jennifer Crusie,2007,328,3.77
The Unfortunate Miss Fortunes,Jennifer Crusie/Eileen Dreyer/Anne Stuart,2007,391,3.48
La falsificadora,Jennifer Crusie/Marina Mariasch,2005,420,3.92
Die Naschkatzen,Jennifer Crusie,2001,480,3.94
Coffee at Luke's: An Unauthorized Gilmore Girls Gabfest,Jennifer Crusie/Leah Wilson/Gregory Stevenson,2007,197,3.55
Bueno en la Cama,Jennifer Weiner/Eduardo García Murillo,2003,415,3.72
Behaving Like Adults,Anna Maxted,2004,400,3.54
Over 100 Truly Astonishing Sex Tips,Anna Maxted,2000,128,3.44
How to Seduce Your Dream Man,Anna Maxted,2000,224,3.89
Running in Heels,Anna Maxted,2002,432,3.53
Kopfüber ins Glück,Anna Maxted,2003,512,3.54
Venice: Tales of the City,Michelle Lovric,2005,464,3.68
Caucasia,Danzy Senna,1999,413,4.03
The Talbot Odyssey,Nelson DeMille,1991,544,3.85
The Lion's Game (John Corey  #2),Nelson DeMille,2002,720,4.19
Word of Honor,Nelson DeMille,1998,880,4.17
Plum Island (John Corey  #1),Nelson DeMille,2002,592,4.03
Spencerville,Nelson DeMille,2008,564,3.67
Up Country,Nelson DeMille,2003,880,4.02
Wolfsbrut.,Nelson DeMille,2002,470,3.85
The Talbot Odyssey,Nelson DeMille,2000,640,3.85
Night Falls Fast: Understanding Suicide,Kay Redfield Jamison,2000,432,4.1
Before Night Falls,Reinaldo Arenas/Dolores M. Koch,2001,317,4.17
When True Night Falls (The Coldfire Trilogy  #2),C.S. Friedman,2005,560,4.14
Nightfall,Anne Stuart,1995,416,3.87
When Night Falls,Linda  Anderson,2000,436,3.44
Before Night Falls,Keith Gray,2007,74,3.39
Where the Broken Heart Still Beats: The Story of Cynthia Ann Parker,Carolyn Meyer,1992,208,3.7
In Cahootz: Sequel to Hoodwinked,Quentin Carter,2006,243,4.47
Earned Value Project Management,Quentin W. Fleming/Joel M. Koppelman,2006,232,3.77
Quintessential Tarantino,Edwin Page,2005,352,3.25
The Foundations of Modern Political Thought: Volume One: The Renaissance,Quentin Skinner,1979,332,4.36
Tara Road,Maeve Binchy,2006,656,3.9
On the Road to Tara,Aljean Harmetz,1996,224,4.0
Selected Stories,Andre Dubus,1995,476,4.28
Broken Vessels,Andre Dubus,1992,195,4.33
In the Bedroom: Seven Stories,Andre Dubus/Todd Field,2002,148,4.16
Thirteen Moons,Charles Frazier,2006,422,3.69
Swimming Upstream: Collaborative Approaches to Watershed Management,Paul A. Sabatier/Will Focht/Mark Lubell/Zev Trachtenberg/Arnold Vedlitz/Marty Matlock,2005,344,3.21
Story of a Girl,Sara Zarr,2007,192,3.66
"Approaches to Teaching Atwood's ""the Handmaid's Tale"" and Other Works (Approaches to Teaching World Literature)",Sharon Rose Wilson/Thomas B. Friedman/Shannon Eileen Hengen,1996,215,3.75
The Namesake,Jhumpa Lahiri,2004,291,3.99
